Message,Date
SELLRECLTD FUT NEAR 6176165 TARGET 615610 EXPIRY JULY,2024-07-18 07:17:23+00:00
Bank Nifty,2024-07-18 04:23:47+00:00
Nifty In Green,2024-07-18 04:23:39+00:00
BUY BANKNIFTY 52600 PE 500 TO 605 TRG1 525 TRG2 570 TRG3 600 HIT TRG3 500 TO 605 TOTAL GAIN 105 POINT RR 13 DONE,2024-07-11 03:56:21+00:00
BUY BANKNIFTY 52600 PE ABOVE 460570 TARGET 3070100200250 Point EXPIRY 16TH JUL,2024-07-11 03:55:05+00:00
BUY MARUTI 13000 CE NEAR 420 TARGET 430500 EXPIRY JULY,2024-07-10 04:52:23+00:00
BUY BANKNIFTY 52800 PE ABOVE 500510 TARGET 2570100200250 Point,2024-07-10 04:52:02+00:00
Equity POWER MECH CMP 5300 SUPPORT 4800 EXPECTED VIEW 6200 STOCK READY FOR BREAKING THE BIGGEST RESISTANCE,2024-07-10 04:31:09+00:00
BUY MARUTI 12500 CE NEAR 260 TARGET 270290350,2024-07-09 04:05:30+00:00
BUY DIXON 12800 PE ABOVE 523528 TARGET 555580620650 EXPIRY JULY,2024-07-05 05:26:46+00:00
BUY DIXON 12800 PE ABOVE 440450 TARGET 475500550600 SL340 EXPIRY JULY,2024-07-04 04:04:15+00:00
BUY HDFCAMC FUT ABOVE 408485 TARGET409341004159 EXPIRY JULY,2024-07-01 05:17:47+00:00
OPTION BUYING VIEW RBL BANK 270CE CMP 13 SUPPORT 11 VIEW 1618,2024-06-28 04:14:45+00:00
Nifty Up 100 Points,2024-06-28 04:11:18+00:00
